"year","State","soil","pixels","Area_sqkm","SoilName"
1999,"3",3,10277,9.2493,"Loamy-Clayey"
1999,"3",4,275242,247.7178,"Gravelly and Calcic"
1999,"3",5,255343,229.8087,"Bedrock and Colluvium"
1999,"3",6,3112,2.8008,"Gypsic"
1999,"3",7,7577,6.8193,"Bottomland"
1999,"3",8,330933,297.8397,"Sandy and Deep Sand"
2000,"1",3,11647,10.4823,"Loamy-Clayey"
2000,"1",4,32694,29.4246,"Gravelly and Calcic"
2000,"1",5,10424,9.3816,"Bedrock and Colluvium"
2000,"1",6,1183,1.0647,"Gypsic"
2000,"1",7,2413,2.1717,"Bottomland"
2000,"1",8,65148,58.6332,"Sandy and Deep Sand"
2000,"2",3,128416,115.5744,"Loamy-Clayey"
2000,"2",4,806189,725.5701,"Gravelly and Calcic"
2000,"2",5,384506,346.0554,"Bedrock and Colluvium"
2000,"2",6,15827,14.2443,"Gypsic"
2000,"2",7,33719,30.3471,"Bottomland"
2000,"2",8,1729085,1556.1765,"Sandy and Deep Sand"
2000,"3",3,10774,9.6966,"Loamy-Clayey"
2000,"3",4,279438,251.4942,"Gravelly and Calcic"
2000,"3",5,256421,230.7789,"Bedrock and Colluvium"
2000,"3",6,3185,2.8665,"Gypsic"
2000,"3",7,7773,6.9957,"Bottomland"
2000,"3",8,337615,303.8535,"Sandy and Deep Sand"
2001,"1",3,11674,10.5066,"Loamy-Clayey"
2001,"1",4,32494,29.2446,"Gravelly and Calcic"
2001,"1",5,10598,9.5382,"Bedrock and Colluvium"
2001,"1",6,1170,1.053,"Gypsic"
2001,"1",7,2179,1.9611,"Bottomland"
2001,"1",8,60973,54.8757,"Sandy and Deep Sand"
2001,"2",3,129301,116.3709,"Loamy-Clayey"
2001,"2",4,810632,729.5688,"Gravelly and Calcic"
2001,"2",5,388942,350.0478,"Bedrock and Colluvium"
2001,"2",6,15883,14.2947,"Gypsic"
2001,"2",7,33943,30.5487,"Bottomland"
2001,"2",8,1738986,1565.0874,"Sandy and Deep Sand"
2001,"3",3,9862,8.8758,"Loamy-Clayey"
2001,"3",4,275195,247.6755,"Gravelly and Calcic"
2001,"3",5,251811,226.6299,"Bedrock and Colluvium"
2001,"3",6,3142,2.8278,"Gypsic"
2001,"3",7,7783,7.0047,"Bottomland"
2001,"3",8,331889,298.7001,"Sandy and Deep Sand"
2002,"1",3,14479,13.0311,"Loamy-Clayey"
2002,"1",4,35477,31.9293,"Gravelly and Calcic"
2002,"1",5,11372,10.2348,"Bedrock and Colluvium"
2002,"1",6,1375,1.2375,"Gypsic"
2002,"1",7,2833,2.5497,"Bottomland"
2002,"1",8,70359,63.3231,"Sandy and Deep Sand"
2002,"2",3,127229,114.5061,"Loamy-Clayey"
