Timestep,StratumID,StateClassID,TransitionGroupID,Amount
2004,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00426110822603464
2004,Gypsic,Shrubland:All,Shrub decline [Type],0.152843890803074
2005,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00703482108768377
2005,Gypsic,Shrubland:All,Shrub decline [Type],0.291909183809481
2006,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00624163017567658
2006,Gypsic,Shrubland:All,Shrub decline [Type],0.148608126343146
2007,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.010265156911759
2007,Gypsic,Shrubland:All,Shrub decline [Type],0.206419426579311
2008,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.0113541426158389
2008,Gypsic,Shrubland:All,Shrub decline [Type],0.229214319328467
2009,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00524769198376435
2009,Gypsic,Shrubland:All,Shrub decline [Type],0.0926780181131624
2010,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00425111148206775
2010,Gypsic,Shrubland:All,Shrub decline [Type],0.0879704345999217
2011,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00442377263376035
2011,Gypsic,Shrubland:All,Shrub decline [Type],0.125186653017909
2013,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00445667984575585
2013,Gypsic,Shrubland:All,Shrub decline [Type],0.0984941918829772
2014,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00660675903348671
2014,Gypsic,Shrubland:All,Shrub decline [Type],0.0508769606266437
2015,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00529867030117418
2015,Gypsic,Shrubland:All,Shrub decline [Type],0.0271729396412763
2016,Gypsic,Low Shrub:All,Shrub in-filling [Type],5.84037258824075e-4
2016,Gypsic,Shrubland:All,Shrub decline [Type],0.00410674399467064
2017,Gypsic,Low Shrub:All,Shrub in-filling [Type],2.85040155622476e-4
